Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
1,1,2014-10-29,22-176,TOR,,ATL,W (+7),1,20:40,4,5,.800,0,0,,9,10,.900,3,5,8,0,0,1,1,3,17,16.8,+3,valanjo01
2,2,2014-11-01,22-179,TOR,@,ORL,W (+13),1,25:11,2,8,.250,0,0,,6,8,.750,3,8,11,1,0,2,2,3,10,7.8,+18,valanjo01
3,3,2014-11-02,22-180,TOR,@,MIA,L (-5),1,28:39,6,12,.500,0,0,,2,2,1.000,3,5,8,2,0,2,0,4,14,12.8,-11,valanjo01
4,4,2014-11-04,22-182,TOR,,OKC,W (+12),1,12:49,2,5,.400,0,0,,2,2,1.000,2,0,2,1,0,1,0,2,6,5.3,-6,valanjo01
6,5,2014-11-07,22-185,TOR,,WAS,W (+19),1,28:36,3,5,.600,0,0,,3,5,.600,1,8,9,0,0,1,0,3,9,8.5,+19,valanjo01
7,6,2014-11-09,22-187,TOR,,PHI,W (+32),1,23:01,4,6,.667,0,0,,4,4,1.000,1,4,5,0,1,2,5,3,12,7.5,+11,valanjo01
8,7,2014-11-11,22-189,TOR,,ORL,W (+4),1,20:27,1,5,.200,0,0,,2,4,.500,4,3,7,1,0,0,3,1,4,1.1,-9,valanjo01
9,8,2014-11-13,22-191,TOR,,CHI,L (-7),1,22:59,4,8,.500,0,0,,0,0,,4,4,8,2,0,1,2,3,8,6.9,-11,valanjo01
10,9,2014-11-15,22-193,TOR,,UTA,W (+18),1,34:06,7,12,.583,0,0,,3,6,.500,3,11,14,0,0,2,0,3,17,15.8,+20,valanjo01
11,10,2014-11-19,22-197,TOR,,MEM,W (+4),1,22:11,4,7,.571,0,0,,2,2,1.000,1,4,5,0,0,2,2,3,10,6.8,-12,valanjo01
12,11,2014-11-21,22-199,TOR,,MIL,W (+42),1,20:59,6,7,.857,0,0,,6,6,1.000,4,8,12,0,1,0,1,4,18,19.1,+20,valanjo01
13,12,2014-11-22,22-200,TOR,@,CLE,W (+17),1,26:22,4,5,.800,0,0,,0,0,,1,4,5,0,0,2,1,5,8,6.4,0,valanjo01
14,13,2014-11-24,22-202,TOR,,PHO,W (+4),1,32:28,10,11,.909,0,0,,7,8,.875,4,7,11,0,0,1,2,1,27,26.1,+10,valanjo01
15,14,2014-11-26,22-204,TOR,@,ATL,W (+11),1,23:36,4,8,.500,0,0,,3,4,.750,2,5,7,0,0,1,1,2,11,8.4,-1,valanjo01
16,15,2014-11-28,22-206,TOR,,DAL,L (-4),1,28:21,2,5,.400,0,0,,4,4,1.000,1,12,13,0,1,0,0,1,8,10.2,-16,valanjo01
17,16,2014-11-30,22-208,TOR,@,LAL,L (-7),1,33:21,4,10,.400,0,0,,1,2,.500,2,11,13,1,0,3,1,1,9,9.3,-7,valanjo01
