<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,24,MEM,NBA,SG,70,1,860,95,233,.408,25,86,.291,70,147,.476,.461,34,44,.773,12,61,73,151,22,4,70,83,249
2011-12,25,NOH,NBA,SG,66,26,1706,225,523,.430,43,135,.319,182,388,.469,.471,96,117,.821,23,150,173,359,60,8,148,126,589
2012-13,26,NOH,NBA,PG,78,78,2685,438,1012,.433,83,243,.342,355,769,.462,.474,124,154,.805,43,294,337,704,66,6,247,190,1083
2013-14,27,TOT,NBA,SG-PG,79,23,1779,277,658,.421,109,289,.377,168,369,.455,.504,95,108,.880,20,153,173,323,31,5,128,143,758
2013-14,27,SAC,NBA,PG,18,18,465,65,150,.433,16,50,.320,49,100,.490,.487,30,32,.938,5,29,34,95,6,1,27,38,176
2013-14,27,TOR,NBA,SG,61,5,1314,212,508,.417,93,239,.389,119,269,.442,.509,65,76,.855,15,124,139,228,25,4,101,105,582
2014-15,28,TOR,NBA,PG,82,29,1991,296,725,.408,133,351,.379,163,374,.436,.500,50,66,.758,22,194,216,302,46,10,119,177,775
2015-16,29,MIL,NBA,PG,16,0,361,38,111,.342,13,53,.245,25,58,.431,.401,22,25,.880,4,33,37,71,7,0,30,33,111
Career,,,NBA,,391,157,9382,1369,3262,.420,406,1157,.351,963,2105,.457,.482,421,514,.819,124,885,1009,1910,232,33,742,752,3565
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,NOH,NBA,,144,104,4391,663,1535,.432,126,378,.333,537,1157,.464,.473,220,271,.812,66,444,510,1063,126,14,395,316,1672
2 seasons,,TOR,NBA,,143,34,3305,508,1233,.412,226,590,.383,282,643,.439,.504,115,142,.810,37,318,355,530,71,14,220,282,1357
1 season,,MEM,NBA,,70,1,860,95,233,.408,25,86,.291,70,147,.476,.461,34,44,.773,12,61,73,151,22,4,70,83,249
1 season,,SAC,NBA,,18,18,465,65,150,.433,16,50,.320,49,100,.490,.487,30,32,.938,5,29,34,95,6,1,27,38,176
1 season,,MIL,NBA,,16,0,361,38,111,.342,13,53,.245,25,58,.431,.401,22,25,.880,4,33,37,71,7,0,30,33,111
