<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,21,TOR,NBA,PF,81,36,2361,435,940,.463,70,214,.327,365,726,.503,.500,113,160,.706,181,340,521,88,60,63,99,247,1053
2006-07,22,MIL,NBA,PF,39,17,984,180,383,.470,29,86,.337,151,297,.508,.508,73,89,.820,62,166,228,36,24,12,54,108,462
2007-08,23,MIL,NBA,PF,76,31,1829,354,814,.435,55,185,.297,299,629,.475,.469,123,157,.783,145,321,466,78,30,35,107,174,886
2008-09,24,MIL,NBA,PF,78,47,2095,487,1089,.447,89,258,.345,398,831,.479,.488,201,240,.838,154,366,520,137,50,56,138,254,1264
2009-10,25,DET,NBA,PF,78,16,1848,363,827,.439,99,282,.351,264,545,.484,.499,106,130,.815,85,280,365,53,48,55,74,223,931
2010-11,26,DET,NBA,PF,76,11,1666,313,708,.442,125,323,.387,188,385,.488,.530,89,116,.767,50,245,295,48,42,42,66,175,840
2011-12,27,DET,NBA,PF,13,0,180,35,91,.385,15,45,.333,20,46,.435,.467,6,7,.857,9,39,48,6,7,5,7,25,91
2012-13,28,DET,NBA,PF,69,0,1092,175,464,.377,90,259,.347,85,205,.415,.474,27,49,.551,49,192,241,54,31,39,39,96,467
2013-14,29,DET,NBA,PF,20,0,180,35,92,.380,14,56,.250,21,36,.583,.457,8,14,.571,6,28,34,6,4,5,7,16,92
2014-15,30,DAL,NBA,PF,64,1,678,150,362,.414,83,221,.376,67,141,.475,.529,20,35,.571,30,119,149,19,15,22,28,64,403
2015-16,31,DAL,NBA,PF,17,1,216,45,111,.405,16,60,.267,29,51,.569,.477,3,4,.750,7,45,52,8,4,5,8,25,109
Career,,,NBA,,611,160,13129,2572,5881,.437,685,1989,.344,1887,3892,.485,.496,769,1001,.768,778,2141,2919,533,315,339,627,1407,6598
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,DET,NBA,,256,27,4966,921,2182,.422,343,965,.355,578,1217,.475,.501,236,316,.747,199,784,983,167,132,146,193,535,2421
3 seasons,,MIL,NBA,,193,95,4908,1021,2286,.447,173,529,.327,848,1757,.483,.484,397,486,.817,361,853,1214,251,104,103,299,536,2612
2 seasons,,DAL,NBA,,81,2,894,195,473,.412,99,281,.352,96,192,.500,.517,23,39,.590,37,164,201,27,19,27,36,89,512
1 season,,TOR,NBA,,81,36,2361,435,940,.463,70,214,.327,365,726,.503,.500,113,160,.706,181,340,521,88,60,63,99,247,1053
