<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,21,CLE,NBA,SG,61,48,1756,336,815,.412,63,203,.310,273,612,.446,.451,159,213,.746,22,127,149,183,59,16,121,113,894
2013-14,22,CLE,NBA,SG,70,24,2072,430,993,.433,92,250,.368,338,743,.455,.479,161,235,.685,32,163,195,209,63,17,154,153,1113
2014-15,23,TOT,NBA,SG,80,23,2208,375,946,.396,73,246,.297,302,700,.431,.435,117,172,.680,41,151,192,163,90,21,113,155,940
2014-15,23,CLE,NBA,SG,33,3,786,138,342,.404,22,86,.256,116,256,.453,.436,47,60,.783,12,45,57,74,44,10,50,59,345
2014-15,23,OKC,NBA,SG,47,20,1422,237,604,.392,51,160,.319,186,444,.419,.435,70,112,.625,29,106,135,89,46,11,63,96,595
2015-16,24,OKC,NBA,SG,18,2,506,70,177,.395,18,51,.353,52,126,.413,.446,33,40,.825,12,55,67,37,22,3,30,40,191
Career,,,NBA,,229,97,6542,1211,2931,.413,246,750,.328,965,2181,.442,.455,470,660,.712,107,496,603,592,234,57,418,461,3138
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,CLE,NBA,,164,75,4614,904,2150,.420,177,539,.328,727,1611,.451,.462,367,508,.722,66,335,401,466,166,43,325,325,2352
2 seasons,,OKC,NBA,,65,22,1928,307,781,.393,69,211,.327,238,570,.418,.437,103,152,.678,41,161,202,126,68,14,93,136,786
