<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,21,BOS,NBA,SF,29,0,216,36,58,.621,0,1,.000,36,57,.632,.621,16,23,.696,8,21,29,13,6,2,18,51,88
2009-10,22,TOT,NBA,SG-SF,35,13,768,120,232,.517,50,116,.431,70,116,.603,.625,39,49,.796,15,73,88,40,23,3,28,83,329
2009-10,22,BOS,NBA,SF,8,0,29,3,6,.500,0,0,,3,6,.500,.500,2,2,1.000,0,5,5,3,0,0,2,4,8
2009-10,22,NYK,NBA,SG,27,13,739,117,226,.518,50,116,.431,67,110,.609,.628,37,47,.787,15,68,83,37,23,3,26,79,321
2010-11,23,NYK,NBA,SG,61,1,784,104,236,.441,59,153,.386,45,83,.542,.566,31,44,.705,16,106,122,34,21,6,37,81,298
2011-12,24,NYK,NBA,SG,32,8,620,68,171,.398,36,113,.319,32,58,.552,.503,17,20,.850,9,71,80,37,19,7,35,84,189
2012-13,25,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2013-14,26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2014-15,27,MIA,NBA,SF,24,13,628,58,168,.345,45,132,.341,13,36,.361,.479,14,18,.778,7,75,82,29,24,9,24,76,175
Career,,,NBA,,181,35,3016,386,865,.446,190,515,.369,196,350,.560,.556,117,154,.760,55,346,401,153,93,27,142,375,1079
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,NYK,NBA,,120,22,2143,289,633,.457,145,382,.380,144,251,.574,.571,85,111,.766,40,245,285,108,63,16,98,244,808
2 seasons,,BOS,NBA,,37,0,245,39,64,.609,0,1,.000,39,63,.619,.609,18,25,.720,8,26,34,16,6,2,20,55,96
1 season,,MIA,NBA,,24,13,628,58,168,.345,45,132,.341,13,36,.361,.479,14,18,.778,7,75,82,29,24,9,24,76,175
