<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,24-174,CHO,,MIL,W (+2),1,38:59,9,26,.346,3,9,.333,5,11,.455,2,4,6,5,1,1,0,1,26,16.4,+12
2,2,2014-11-01,24-177,CHO,,MEM,L (-2),1,30:57,1,11,.091,1,5,.200,2,3,.667,0,3,3,4,2,0,2,1,5,0.6,+2
3,3,2014-11-02,24-178,CHO,@,NYK,L (-3),1,30:18,5,9,.556,2,4,.500,4,4,1.000,0,3,3,1,0,0,1,2,16,11.5,+2
4,4,2014-11-04,24-180,CHO,@,NOP,L (-9),1,27:20,4,13,.308,3,8,.375,0,0,,0,2,2,3,1,0,1,2,11,5.4,-15
5,5,2014-11-05,24-181,CHO,,MIA,W (+7),1,34:14,5,6,.833,2,2,1.000,6,6,1.000,0,4,4,7,2,0,1,4,18,21.3,+12
6,6,2014-11-07,24-183,CHO,,ATL,W (+3),1,43:14,6,16,.375,0,4,.000,3,4,.750,1,8,9,10,3,2,2,4,15,16.7,-6
7,7,2014-11-09,24-185,CHO,@,LAL,L (-15),1,34:00,7,11,.636,0,0,,3,5,.600,1,2,3,4,2,0,1,1,17,16.0,-11
8,8,2014-11-11,24-187,CHO,@,POR,L (-2),1,35:57,6,16,.375,1,4,.250,3,4,.750,0,4,4,3,2,0,2,1,16,9.7,-3
9,9,2014-11-14,24-190,CHO,@,PHO,W (+8),1,32:31,8,16,.500,0,2,.000,3,3,1.000,2,3,5,4,1,1,3,0,19,14.8,-2
10,10,2014-11-15,24-191,CHO,@,GSW,L (-25),1,27:25,3,14,.214,0,2,.000,2,5,.400,0,3,3,5,1,0,1,1,8,2.2,-19
11,11,2014-11-17,24-193,CHO,,DAL,L (-27),1,29:34,3,8,.375,1,3,.333,4,4,1.000,0,3,3,4,0,0,1,1,11,8.9,-18
12,12,2014-11-19,24-195,CHO,@,IND,L (-2),1,42:37,5,15,.333,2,4,.500,0,1,.000,0,3,3,7,2,0,2,3,12,7.7,-1
13,13,2014-11-21,24-197,CHO,,ORL,L (-5),1,37:24,7,19,.368,1,6,.167,0,0,,2,10,12,8,0,0,3,5,15,9.5,-4
14,14,2014-11-23,24-199,CHO,@,MIA,L (-1),1,35:48,6,15,.400,2,6,.333,2,2,1.000,2,5,7,4,3,0,3,3,16,12.4,+2
15,15,2014-11-24,24-200,CHO,,LAC,L (-21),1,40:56,4,11,.364,0,4,.000,7,8,.875,0,5,5,6,3,1,1,1,15,16.5,-28
16,16,2014-11-26,24-202,CHO,,POR,L (-8),1,36:49,6,19,.316,1,5,.200,2,2,1.000,1,3,4,9,0,1,1,1,15,11.3,-4
17,17,2014-11-28,24-204,CHO,,GSW,L (-5),1,42:42,4,16,.250,2,7,.286,3,4,.750,1,3,4,13,1,1,4,2,13,10.6,-5
18,18,2014-11-29,24-205,CHO,@,ATL,L (-30),1,24:51,2,9,.222,0,2,.000,0,0,,0,2,2,6,1,1,0,1,4,4.6,-36
19,19,2014-12-03,24-209,CHO,,CHI,L (-7),1,36:26,7,18,.389,1,3,.333,8,9,.889,1,4,5,4,1,2,0,4,23,18.3,+10
20,20,2014-12-05,24-211,CHO,,NYK,W (+1),1,39:03,4,15,.267,0,2,.000,3,3,1.000,1,3,4,4,1,1,1,1,11,6.8,+7
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2014-12-10,24-216,CHO,,BOS,W (+9),1,36:25,5,14,.357,1,3,.333,7,8,.875,1,4,5,7,3,0,3,0,18,16.6,+13
22,22,2014-12-12,24-218,CHO,@,MEM,L (-6),1,48:02,11,21,.524,4,7,.571,2,3,.667,2,2,4,7,2,0,1,3,28,24.0,-6
23,23,2014-12-13,24-219,CHO,,BRK,L (-27),1,26:57,3,11,.273,1,4,.250,4,4,1.000,0,1,1,4,0,0,0,2,11,6.8,-30
24,24,2014-12-15,24-221,CHO,@,CLE,L (-9),1,34:37,11,20,.550,1,2,.500,1,2,.500,0,5,5,5,1,0,3,0,24,17.0,-21
25,25,2014-12-17,24-223,CHO,,PHO,L (-5),1,38:13,9,20,.450,4,8,.500,5,6,.833,1,1,2,7,1,0,0,5,27,21.1,-6
26,26,2014-12-19,24-225,CHO,@,PHI,W (+18),1,37:49,13,23,.565,3,4,.750,1,2,.500,2,2,4,5,1,0,3,0,30,22.2,+10
27,27,2014-12-20,24-226,CHO,,UTA,W (+18),1,32:51,8,17,.471,2,5,.400,2,2,1.000,0,2,2,6,4,0,0,0,20,20.1,+22
28,28,2014-12-22,24-228,CHO,,DEN,W (+28),1,29:42,5,12,.417,2,5,.400,6,6,1.000,0,1,1,9,0,0,1,1,18,16.8,+18
29,29,2014-12-23,24-229,CHO,@,MIL,W (+7),1,35:55,9,18,.500,1,4,.250,8,10,.800,0,1,1,4,2,0,2,4,27,18.7,+9
30,30,2014-12-26,24-232,CHO,@,OKC,L (-23),1,29:31,2,13,.154,0,3,.000,2,2,1.000,0,2,2,2,3,0,2,0,6,0.7,-21
31,31,2014-12-27,24-233,CHO,,ORL,L (-8),1,42:09,15,31,.484,5,12,.417,7,9,.778,1,2,3,7,0,1,2,0,42,30.4,0
32,32,2014-12-29,24-235,CHO,,MIL,L (-10),1,48:35,7,22,.318,2,8,.250,12,13,.923,0,1,1,4,2,4,5,2,28,17.1,-6
33,33,2014-12-31,24-237,CHO,@,HOU,L (-19),1,34:36,4,11,.364,1,3,.333,3,3,1.000,1,0,1,5,1,1,1,1,12,10.4,-13
34,34,2015-01-02,24-239,CHO,,CLE,L (-4),1,40:27,4,16,.250,1,8,.125,1,3,.333,0,2,2,5,2,2,2,2,10,4.3,-1
35,35,2015-01-03,24-240,CHO,@,ORL,W (+8),1,38:48,10,21,.476,4,8,.500,6,7,.857,1,6,7,6,2,1,3,0,30,25.3,+13
36,36,2015-01-05,24-242,CHO,@,BOS,W (+9),1,38:53,12,26,.462,2,7,.286,7,7,1.000,1,4,5,5,0,1,1,2,33,23.9,+12
