<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,25,SEA,NBA,SF,29,7,520,73,168,.435,16,59,.271,57,109,.523,.482,21,34,.618,29,37,66,26,22,10,16,55,183
2005-06,26,SEA,NBA,SF,82,12,1525,193,435,.444,14,56,.250,179,379,.472,.460,136,162,.840,79,113,192,107,72,12,85,144,536
2006-07,27,SEA,NBA,SF,82,31,2037,262,602,.435,50,122,.410,212,480,.442,.477,150,170,.882,87,142,229,156,92,16,116,157,724
2007-08,28,SEA,NBA,SF,76,31,1843,271,673,.403,50,155,.323,221,518,.427,.440,106,144,.736,72,173,245,150,62,19,89,128,698
2008-09,29,OKC,NBA,SG,41,14,636,77,213,.362,27,72,.375,50,141,.355,.425,37,46,.804,20,50,70,37,22,7,37,55,218
2009-10,30,MIN,NBA,SF,80,31,1585,165,381,.433,18,61,.295,147,320,.459,.457,103,129,.798,72,177,249,135,66,25,76,144,451
2010-11,31,ATL,NBA,SF,52,0,676,69,137,.504,2,10,.200,67,127,.528,.511,40,56,.714,23,67,90,41,27,9,21,72,180
2011-12,32,DET,NBA,SF,60,2,922,76,193,.394,7,23,.304,69,170,.406,.412,34,54,.630,22,78,100,44,29,13,30,85,193
2012-13,33,PHI,NBA,SG,61,21,1095,145,316,.459,17,51,.333,128,265,.483,.486,81,109,.743,32,73,105,91,37,18,49,98,388
Career,,,NBA,,563,149,10839,1331,3118,.427,201,609,.330,1130,2509,.450,.459,708,904,.783,436,910,1346,787,429,129,519,938,3571
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,SEAOKC,NBA,,310,95,6561,876,2091,.419,157,464,.338,719,1627,.442,.456,450,556,.809,287,515,802,476,270,64,343,539,2359
1 season,,MIN,NBA,,80,31,1585,165,381,.433,18,61,.295,147,320,.459,.457,103,129,.798,72,177,249,135,66,25,76,144,451
1 season,,PHI,NBA,,61,21,1095,145,316,.459,17,51,.333,128,265,.483,.486,81,109,.743,32,73,105,91,37,18,49,98,388
1 season,,DET,NBA,,60,2,922,76,193,.394,7,23,.304,69,170,.406,.412,34,54,.630,22,78,100,44,29,13,30,85,193
1 season,,ATL,NBA,,52,0,676,69,137,.504,2,10,.200,67,127,.528,.511,40,56,.714,23,67,90,41,27,9,21,72,180
