<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,30-125,BRK,@,BOS,L (-16),1,39:03,6,16,.375,0,3,.000,7,7,1.000,0,3,3,8,2,1,4,1,19,15.0,-16
2,2,2014-11-01,30-128,BRK,@,DET,W (+12),1,40:45,7,19,.368,1,5,.200,0,0,,1,1,2,6,0,1,0,4,15,8.8,+11
3,3,2014-11-03,30-130,BRK,,OKC,W (+31),1,36:46,4,8,.500,1,4,.250,8,8,1.000,0,3,3,9,1,0,2,1,17,18.8,+29
4,4,2014-11-05,30-132,BRK,,MIN,L (-7),1,39:12,8,16,.500,3,6,.500,0,1,.000,0,2,2,6,0,1,4,3,19,10.9,-18
5,5,2014-11-07,30-134,BRK,,NYK,W (+11),1,32:38,10,15,.667,2,3,.667,7,10,.700,0,1,1,6,1,0,3,2,29,23.0,+19
6,6,2014-11-09,30-136,BRK,,ORL,W (+8),1,40:43,7,12,.583,0,1,.000,4,4,1.000,0,4,4,7,2,0,2,3,18,17.3,+6
7,7,2014-11-12,30-139,BRK,@,PHO,L (-8),1,33:52,5,10,.500,2,5,.400,2,2,1.000,0,4,4,5,1,0,5,4,14,8.1,-7
8,8,2014-11-13,30-140,BRK,@,GSW,L (-8),1,33:01,7,14,.500,2,3,.667,2,2,1.000,0,4,4,5,2,0,3,3,18,13.5,-12
9,9,2014-11-15,30-142,BRK,@,POR,L (-10),1,37:08,6,15,.400,1,4,.250,6,6,1.000,0,2,2,6,0,0,2,2,19,12.9,-5
10,10,2014-11-17,30-144,BRK,,MIA,L (-12),1,34:44,4,13,.308,2,8,.250,4,5,.800,1,4,5,7,4,1,3,4,14,13.0,-9
11,11,2014-11-19,30-146,BRK,,MIL,L (-4),1,52:22,7,14,.500,3,7,.429,1,2,.500,1,4,5,7,2,0,4,4,18,13.8,-1
12,12,2014-11-21,30-148,BRK,@,OKC,W (+2),1,31:26,4,11,.364,2,3,.667,7,7,1.000,3,2,5,4,1,0,4,2,17,12.6,-3
13,13,2014-11-22,30-149,BRK,@,SAS,L (-12),1,36:47,10,21,.476,2,4,.500,2,2,1.000,1,4,5,7,2,2,3,3,24,19.3,-5
14,14,2014-11-26,30-153,BRK,@,PHI,W (+8),1,37:07,4,10,.400,2,5,.400,7,7,1.000,1,7,8,10,2,1,4,4,17,18.5,+9
15,15,2014-11-30,30-157,BRK,,CHI,L (-18),1,34:19,3,12,.250,0,1,.000,4,4,1.000,0,1,1,3,1,0,2,0,10,4.2,-20
16,16,2014-12-02,30-159,BRK,@,NYK,W (+5),1,35:26,6,12,.500,5,8,.625,2,3,.667,0,5,5,5,0,0,0,1,19,17.2,+9
17,17,2014-12-03,30-160,BRK,,SAS,W (+2),1,39:09,6,15,.400,2,5,.400,3,4,.750,0,3,3,9,0,0,2,2,17,12.9,+5
18,18,2014-12-05,30-162,BRK,,ATL,L (-23),1,23:24,3,8,.375,2,3,.667,0,0,,0,1,1,2,0,1,1,4,8,3.4,-9
19,19,2014-12-08,30-165,BRK,,CLE,L (-22),1,35:28,3,14,.214,1,4,.250,6,6,1.000,0,2,2,11,0,0,3,1,13,9.3,-18
20,20,2014-12-10,30-167,BRK,@,CHI,L (-25),1,32:13,5,15,.333,1,1,1.000,6,7,.857,0,2,2,5,2,0,2,3,17,11.0,-20
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2014-12-12,30-169,BRK,,PHI,W (+18),1,29:08,0,8,.000,0,5,.000,3,4,.750,1,3,4,10,3,0,2,1,3,6.2,+8
22,22,2014-12-13,30-170,BRK,@,CHO,W (+27),1,26:19,4,11,.364,3,4,.750,7,7,1.000,0,2,2,10,0,0,2,2,18,16.7,+24
23,23,2014-12-16,30-173,BRK,,MIA,L (-4),1,38:33,4,12,.333,1,5,.200,6,7,.857,0,1,1,11,2,0,2,1,15,15.4,+3
24,24,2014-12-17,30-174,BRK,@,TOR,L (-16),1,32:48,5,15,.333,1,5,.200,0,1,.000,3,0,3,7,0,0,5,3,11,2.9,-10
25,25,2014-12-19,30-176,BRK,@,CLE,L (-4),1,10:10,0,2,.000,0,0,,1,2,.500,0,0,0,5,0,0,0,1,1,2.3,+5
26,,2014-12-21,30-178,BRK,,DET,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,,2014-12-23,30-180,BRK,,DEN,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,26,2014-12-26,30-183,BRK,@,BOS,W (+2),0,20:53,2,6,.333,0,2,.000,4,6,.667,1,3,4,4,0,0,1,1,8,6.8,+6
29,27,2014-12-27,30-184,BRK,,IND,L (-25),0,19:33,2,7,.286,1,1,1.000,2,3,.667,0,1,1,3,0,0,3,3,7,0.7,-20
30,28,2014-12-29,30-186,BRK,,SAC,W (+8),0,16:52,2,6,.333,0,2,.000,2,2,1.000,0,0,0,3,0,0,0,0,6,4.7,0
31,29,2014-12-30,30-187,BRK,@,CHI,W (+14),0,20:30,1,8,.125,0,1,.000,4,5,.800,2,4,6,4,3,1,3,3,6,5.3,+27
32,30,2015-01-02,30-190,BRK,@,ORL,W (+2),0,29:08,5,10,.500,3,3,1.000,3,4,.750,0,2,2,7,0,0,1,1,16,14.7,-2
33,31,2015-01-04,30-192,BRK,@,MIA,L (-4),0,26:04,5,10,.500,1,2,.500,2,2,1.000,0,6,6,8,1,0,0,2,13,15.6,+1
34,,2015-01-05,30-193,BRK,,DAL,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,32,2015-01-07,30-195,BRK,,BOS,L (-8),0,4:07,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-1.4,-4
36,,2015-01-09,30-197,BRK,,PHI,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,,2015-01-10,30-198,BRK,,DET,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,,2015-01-12,30-200,BRK,,HOU,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,,2015-01-14,30-202,BRK,,MEM,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,,2015-01-16,30-204,BRK,,WAS,W (+22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,,2015-01-17,30-205,BRK,,WAS,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,,2015-01-21,30-209,BRK,,SAC,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,,2015-01-22,30-210,BRK,,LAC,L (-39),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,,2015-01-24,30-212,BRK,,UTA,L (-35),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
45,,2015-01-28,30-216,BRK,,ATL,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,,2015-01-30,30-218,BRK,,TOR,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,33,2015-02-02,30-221,BRK,,LAC,W (+2),0,29:07,5,8,.625,3,5,.600,2,2,1.000,0,3,3,3,0,0,4,4,15,8.8,+12
48,34,2015-02-04,30-223,BRK,@,TOR,W (+16),0,32:48,4,12,.333,0,2,.000,3,4,.750,0,3,3,6,0,0,0,1,11,8.5,+5
49,35,2015-02-06,30-225,BRK,,NYK,W (+4),0,25:51,2,9,.222,0,2,.000,1,4,.250,1,3,4,6,0,1,2,2,5,2.0,-6
50,36,2015-02-07,30-226,BRK,@,WAS,L (-37),0,29:08,0,8,.000,0,2,.000,3,6,.500,0,4,4,7,3,0,0,1,3,4.9,-10
