<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,22,POR,NBA,SG,24,0,149,37,74,.500,8,27,.296,29,47,.617,.554,6,18,.333,7,12,19,6,6,3,5,18,88
2012-13,23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2013-14,24,PHI,NBA,SG,67,2,1157,140,337,.415,37,125,.296,103,212,.486,.470,87,119,.731,30,100,130,72,35,3,68,126,404
2014-15,25,TOT,NBA,SG,13,0,119,14,37,.378,8,18,.444,6,19,.316,.486,1,4,.250,0,8,8,12,4,0,4,12,37
2014-15,25,UTA,NBA,SG,5,0,42,6,13,.462,5,7,.714,1,6,.167,.654,1,2,.500,0,3,3,4,2,0,4,1,18
2014-15,25,NOP,NBA,SG,8,0,77,8,24,.333,3,11,.273,5,13,.385,.396,0,2,.000,0,5,5,8,2,0,0,11,19
Career,,,NBA,,104,2,1425,191,448,.426,53,170,.312,138,278,.496,.485,94,141,.667,37,120,157,90,45,6,77,156,529
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,PHI,NBA,,67,2,1157,140,337,.415,37,125,.296,103,212,.486,.470,87,119,.731,30,100,130,72,35,3,68,126,404
1 season,,POR,NBA,,24,0,149,37,74,.500,8,27,.296,29,47,.617,.554,6,18,.333,7,12,19,6,6,3,5,18,88
1 season,,NOP,NBA,,8,0,77,8,24,.333,3,11,.273,5,13,.385,.396,0,2,.000,0,5,5,8,2,0,0,11,19
1 season,,UTA,NBA,,5,0,42,6,13,.462,5,7,.714,1,6,.167,.654,1,2,.500,0,3,3,4,2,0,4,1,18
