<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,28-002,TOR,,ATL,W (+7),0,15:17,3,8,.375,1,4,.250,1,1,1.000,1,0,1,1,0,0,1,1,8,3.6,+6
2,2,2014-11-01,28-005,TOR,@,ORL,W (+13),0,17:23,0,3,.000,0,0,,5,5,1.000,1,1,2,2,0,0,1,1,5,3.9,-4
3,3,2014-11-02,28-006,TOR,@,MIA,L (-5),0,20:37,1,4,.250,0,2,.000,6,10,.600,0,0,0,1,0,0,1,3,8,2.5,+15
4,4,2014-11-04,28-008,TOR,,OKC,W (+12),0,18:50,4,9,.444,2,5,.400,2,2,1.000,0,2,2,0,2,0,1,0,12,8.9,+5
5,5,2014-11-05,28-009,TOR,@,BOS,W (+3),0,24:01,5,10,.500,0,1,.000,1,1,1.000,0,2,2,1,2,0,0,1,11,8.9,0
6,6,2014-11-07,28-011,TOR,,WAS,W (+19),0,16:21,5,11,.455,1,3,.333,2,5,.400,0,1,1,0,0,0,1,2,13,4.6,-1
7,7,2014-11-09,28-013,TOR,,PHI,W (+32),0,17:34,5,9,.556,1,2,.500,5,6,.833,0,0,0,1,2,0,2,0,16,12.0,+24
8,8,2014-11-11,28-015,TOR,,ORL,W (+4),0,15:39,5,8,.625,1,3,.333,3,4,.750,0,0,0,0,1,0,2,0,14,9.0,+3
9,9,2014-11-13,28-017,TOR,,CHI,L (-7),0,15:43,1,6,.167,1,3,.333,0,0,,1,0,1,0,2,0,0,0,3,1.9,-9
10,10,2014-11-15,28-019,TOR,,UTA,W (+18),0,23:41,4,13,.308,2,5,.400,3,4,.750,1,1,2,2,2,0,2,3,13,6.3,+7
11,11,2014-11-19,28-023,TOR,,MEM,W (+4),0,17:46,4,8,.500,2,4,.500,3,3,1.000,0,2,2,1,2,0,1,0,13,11.3,+11
12,12,2014-11-21,28-025,TOR,,MIL,W (+42),0,19:24,7,14,.500,5,7,.714,3,3,1.000,0,1,1,2,1,0,0,1,22,17.3,+18
