<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,21,UTA,NBA,SG,57,0,772,115,303,.380,10,39,.256,105,264,.398,.396,44,56,.786,23,49,72,76,28,2,51,87,284
2004-05,22,MIL,NBA,PG,80,80,2254,323,737,.438,32,99,.323,291,638,.456,.460,136,160,.850,50,194,244,484,74,11,196,221,814
2005-06,23,MIL,NBA,PG,58,12,1531,267,629,.424,73,191,.382,194,438,.443,.483,96,113,.850,30,113,143,230,52,7,105,146,703
2006-07,24,MIL,NBA,PG,68,68,2472,468,1049,.446,79,228,.346,389,821,.474,.484,159,186,.855,54,275,329,416,85,6,203,201,1174
2007-08,25,MIL,NBA,PG,66,66,2410,441,919,.480,89,231,.385,352,688,.512,.528,166,194,.856,37,193,230,419,78,10,182,188,1137
2008-09&nbsp;★,26,CLE,NBA,PG,81,81,2834,526,1126,.467,183,420,.436,343,706,.486,.548,208,228,.912,47,232,279,329,69,9,179,215,1443
2009-10,27,CLE,NBA,PG,69,68,2359,378,855,.442,159,371,.429,219,484,.452,.535,177,198,.894,28,178,206,368,70,21,173,170,1092
2010-11,28,TOT,NBA,PG,58,56,1788,291,730,.399,79,244,.324,212,486,.436,.453,151,177,.853,21,132,153,380,53,10,171,150,812
2010-11,28,CLE,NBA,PG,36,34,1065,178,462,.385,36,136,.265,142,326,.436,.424,85,102,.833,15,82,97,257,33,10,105,91,477
2010-11,28,LAC,NBA,PG,22,22,723,113,268,.422,43,108,.398,70,160,.438,.502,66,75,.880,6,50,56,123,20,0,66,59,335
2011-12,29,LAC,NBA,SG,52,1,1472,260,611,.426,93,239,.389,167,372,.449,.502,72,80,.900,23,76,99,160,51,7,86,103,685
2012-13,30,UTA,NBA,PG,46,46,1418,229,533,.430,59,154,.383,170,379,.449,.485,75,85,.882,24,86,110,285,46,9,125,105,592
2013-14,31,POR,NBA,PG,74,0,1834,280,672,.417,83,225,.369,197,447,.441,.478,78,89,.876,42,111,153,321,55,10,149,197,721
2014-15,32,TOT,NBA,PG,68,33,1980,341,860,.397,119,348,.342,222,512,.434,.466,163,187,.872,22,152,174,424,46,14,172,162,964
2014-15,32,MIN,NBA,PG,41,19,1149,180,447,.403,59,170,.347,121,277,.437,.469,80,94,.851,13,85,98,261,30,8,102,103,499
2014-15,32,CHO,NBA,PG,27,14,831,161,413,.390,60,178,.337,101,235,.430,.462,83,93,.892,9,67,76,163,16,6,70,59,465
2015-16,33,CLE,NBA,PG,15,14,453,85,171,.497,23,63,.365,62,108,.574,.564,25,28,.893,3,44,47,68,9,4,34,32,218
Career,,,NBA,,792,525,23577,4004,9195,.435,1081,2852,.379,2923,6343,.461,.494,1550,1781,.870,404,1835,2239,3960,716,120,1826,1977,10639
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MIL,NBA,,272,226,8667,1499,3334,.450,273,749,.364,1226,2585,.474,.491,557,653,.853,171,775,946,1549,289,34,686,756,3828
4 seasons,,CLE,NBA,,201,197,6711,1167,2614,.446,401,990,.405,766,1624,.472,.523,495,556,.890,93,536,629,1022,181,44,491,508,3230
2 seasons,,UTA,NBA,,103,46,2190,344,836,.411,69,193,.358,275,643,.428,.453,119,141,.844,47,135,182,361,74,11,176,192,876
2 seasons,,LAC,NBA,,74,23,2195,373,879,.424,136,347,.392,237,532,.445,.502,138,155,.890,29,126,155,283,71,7,152,162,1020
1 season,,POR,NBA,,74,0,1834,280,672,.417,83,225,.369,197,447,.441,.478,78,89,.876,42,111,153,321,55,10,149,197,721
1 season,,MIN,NBA,,41,19,1149,180,447,.403,59,170,.347,121,277,.437,.469,80,94,.851,13,85,98,261,30,8,102,103,499
1 season,,CHO,NBA,,27,14,831,161,413,.390,60,178,.337,101,235,.430,.462,83,93,.892,9,67,76,163,16,6,70,59,465
