<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,23,GSW,NBA,SF,24,10,782,140,283,.495,33,92,.359,107,191,.560,.553,52,62,.839,18,92,110,66,23,6,29,49,365
2010-11,24,GSW,NBA,SF,80,9,1626,268,572,.469,102,241,.423,166,331,.502,.558,100,134,.746,45,171,216,121,28,3,57,124,738
2011-12,25,CHA,NBA,SF,33,13,747,106,255,.416,33,107,.308,73,148,.493,.480,29,40,.725,27,66,93,60,20,3,33,34,274
2012-13,26,CHA,NBA,SF,40,0,380,57,132,.432,22,72,.306,35,60,.583,.515,10,21,.476,8,43,51,39,12,1,19,19,146
2013-14,27,OKC,NBA,SF,3,0,17,5,9,.556,1,3,.333,4,6,.667,.611,0,0,,0,0,0,1,1,0,2,1,11
2014-15,28,SAS,NBA,SF,20,0,105,15,39,.385,3,19,.158,12,20,.600,.423,4,4,1.000,5,12,17,10,1,0,2,12,37
Career,,,NBA,,200,32,3657,591,1290,.458,194,534,.363,397,756,.525,.533,195,261,.747,103,384,487,297,85,13,142,239,1571
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,GSW,NBA,,104,19,2408,408,855,.477,135,333,.405,273,522,.523,.556,152,196,.776,63,263,326,187,51,9,86,173,1103
2 seasons,,CHA,NBA,,73,13,1127,163,387,.421,55,179,.307,108,208,.519,.492,39,61,.639,35,109,144,99,32,4,52,53,420
1 season,,SAS,NBA,,20,0,105,15,39,.385,3,19,.158,12,20,.600,.423,4,4,1.000,5,12,17,10,1,0,2,12,37
1 season,,OKC,NBA,,3,0,17,5,9,.556,1,3,.333,4,6,.667,.611,0,0,,0,0,0,1,1,0,2,1,11
