<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,22,WAS,NBA,SG,75,2,1158,210,478,.439,40,100,.400,170,378,.450,.481,101,124,.815,23,92,115,63,35,7,94,130,561
2008-09,23,WAS,NBA,SG,82,5,1837,336,756,.444,56,164,.341,280,592,.473,.481,164,193,.850,31,119,150,95,39,20,92,140,892
2009-10,24,WAS,NBA,SG,74,23,1421,233,558,.418,69,170,.406,164,388,.423,.479,104,130,.800,20,82,102,48,28,8,56,147,639
2010-11,25,WAS,NBA,SG,64,40,2034,412,935,.441,105,271,.387,307,664,.462,.497,186,228,.816,26,148,174,75,45,17,90,144,1115
2011-12,26,TOT,NBA,SG,62,35,1729,316,784,.403,103,282,.365,213,502,.424,.469,144,169,.852,31,102,133,56,44,17,83,141,879
2011-12,26,WAS,NBA,SG,40,32,1211,240,591,.406,73,197,.371,167,394,.424,.468,112,130,.862,20,77,97,46,30,11,59,90,665
2011-12,26,LAC,NBA,SG,22,3,518,76,193,.394,30,85,.353,46,108,.426,.472,32,39,.821,11,25,36,10,14,6,24,51,214
2012-13,27,PHI,NBA,SG,59,17,1411,224,542,.413,75,210,.357,149,332,.449,.482,105,128,.820,24,106,130,84,36,14,50,84,628
2013-14,28,LAL,NBA,SG,64,9,1810,387,889,.435,135,350,.386,252,539,.468,.511,235,285,.825,29,137,166,95,46,12,95,156,1144
2014-15,29,LAL,NBA,SG,42,0,1000,174,476,.366,83,225,.369,91,251,.363,.453,132,148,.892,17,79,96,41,23,11,44,83,563
2015-16,30,LAL,NBA,SG,17,0,336,55,134,.410,35,86,.407,20,48,.417,.541,17,20,.850,3,27,30,10,10,3,11,19,162
Career,,,NBA,,539,131,12736,2347,5552,.423,701,1858,.377,1646,3694,.446,.486,1188,1425,.834,204,892,1096,567,306,109,615,1044,6583
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,WAS,NBA,,335,102,7661,1431,3318,.431,343,902,.380,1088,2416,.450,.483,667,805,.829,120,518,638,327,177,63,391,651,3872
3 seasons,,LAL,NBA,,123,9,3146,616,1499,.411,253,661,.383,363,838,.433,.495,384,453,.848,49,243,292,146,79,26,150,258,1869
1 season,,PHI,NBA,,59,17,1411,224,542,.413,75,210,.357,149,332,.449,.482,105,128,.820,24,106,130,84,36,14,50,84,628
1 season,,LAC,NBA,,22,3,518,76,193,.394,30,85,.353,46,108,.426,.472,32,39,.821,11,25,36,10,14,6,24,51,214
