<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,26-130,MIN,@,MEM,L (-4),1,34:06,10,18,.556,2,3,.667,4,4,1.000,2,2,4,4,2,0,1,2,26,22.4,-6
2,2,2014-10-30,26-131,MIN,,DET,W (+6),1,34:04,7,13,.538,2,4,.500,3,3,1.000,1,4,5,2,3,0,1,3,19,16.8,+15
3,3,2014-11-01,26-133,MIN,,CHI,L (-1),1,17:12,4,9,.444,0,1,.000,0,0,,0,1,1,2,0,0,0,3,8,3.8,-8
4,4,2014-11-05,26-137,MIN,@,BRK,W (+7),1,36:04,6,14,.429,0,0,,0,0,,4,8,12,0,3,2,2,1,12,11.8,+22
5,5,2014-11-07,26-139,MIN,@,ORL,L (-9),1,38:40,6,16,.375,1,1,1.000,0,2,.000,0,4,4,1,1,0,1,2,13,4.5,-10
6,6,2014-11-08,26-140,MIN,@,MIA,L (-10),1,35:08,8,17,.471,0,1,.000,0,1,.000,3,3,6,1,1,0,2,2,16,8.8,-11
7,7,2014-11-12,26-144,MIN,,HOU,L (-12),1,27:12,2,10,.200,1,1,1.000,1,2,.500,1,2,3,1,1,1,0,3,6,1.9,-11
8,,2014-11-14,26-146,MIN,,NOP,L (-48),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,,2014-11-15,26-147,MIN,,DAL,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,,2014-11-19,26-151,MIN,,NYK,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
